Type_of_Security,spread_bin,mean_spread,actual_cpr_mean,predicted_cpr_mean,actual_cpr_std,actual_cpr_se,actual_cpr_ci95,n_obs,total_upb,bin_sq_error,weighted_bin_sq_error
15yr TBA Eligible,"(-4.2490000000000006, -3.095]",-3.4366836842105264,0.14183207865201325,0.3481145704288465,0.11266822169675642,0.0036554398079847276,0.007164662023650066,950,22792338929847.61,0.04255246641365929,0.015021606684139278
15yr TBA Eligible,"(-3.095, -2.665]",-2.893089343379979,0.15939771276100684,0.3129695811664457,0.11895738562538516,0.0039028652215238762,0.007649615834186797,929,16609891619524.19,0.02358431876553743,0.00606726395624109
15yr TBA Eligible,"(-2.665, -2.393]",-2.545082271762208,0.23186746238956238,0.21518046452473052,0.14245463126468752,0.004641422695440207,0.009097188483062806,942,5418489930017.81,0.0002784558977409029,2.3368855646218816e-05
15yr TBA Eligible,"(-2.393, -2.133]",-2.2618581521739127,0.2182478821316078,0.2391614672097209,0.15153712151182952,0.004996030945975252,0.009792220654111495,920,6780281659183.27,0.00043737804081947425,4.593116538329996e-05
15yr TBA Eligible,"(-2.133, -1.865]",-1.9702368983957221,0.2503386408966323,0.205300470510092,0.16126142434047752,0.005273812508486941,0.010336672516634404,935,4648721669335.47,0.002028436791767037,0.0001460487278277236
15yr TBA Eligible,"(-1.865, -1.475]",-1.678968583599574,0.2639555549838498,0.2271097051824889,0.17666472731659902,0.005765235487991822,0.01129986155646397,939,4447782839419.72,0.0013576166475844477,9.352408851118316e-05
15yr TBA Eligible,"(-1.475, -1.014]",-1.291314316469322,0.29656128164842027,0.2142484665943793,0.21203936479687355,0.0069567858952940265,0.013635300354776291,929,2170453430094.31,0.006775399522120755,0.00022776560182364943
15yr TBA Eligible,"(-1.014, 0.281]",-0.5590092290988056,0.340273297948319,0.27342081515455463,0.2660938412586957,0.00876809017864774,0.01718545675014957,921,1697053319255.58,0.004469254455690562,0.00011747171896378335
20yr TBA Eligible,"(-3.933, -3.024]",-3.344083876221499,0.1286738291488226,0.5351509206100201,0.0990046463745561,0.0039955023581593405,0.007831184621992306,614,7359002528219.3,0.16522362588275472,0.05796615129811183
20yr TBA Eligible,"(-3.024, -2.621]",-2.787961626575029,0.1690529584601356,0.36134812278131456,0.13513818391164642,0.005601657945377139,0.010979249572939193,582,5505857355292.42,0.03697743022130922,0.009706106382864482
20yr TBA Eligible,"(-2.621, -2.318]",-2.4426916099773246,0.18739824349061485,0.28422614553701464,0.15891739260233506,0.006553642814133685,0.012845139915702023,588,1933254896889.38,0.009375642614707193,0.0008641189485358315
20yr TBA Eligible,"(-2.318, -2.081]",-2.199837853107345,0.21542361703694152,0.20182895287622482,0.20120884405419925,0.008283637018051042,0.01623592855538004,590,1521685658801.12,0.000184814893642675,1.34074220159059e-05
20yr TBA Eligible,"(-2.081, -1.857]",-1.950832768361582,0.19909639733856277,0.17846031325221226,0.16219104240112273,0.006677299544886415,0.013087507107977374,590,2401622958973.95,0.00042584796641892875,4.8757650460123515e-05
20yr TBA Eligible,"(-1.857, -1.547]",-1.6828064876957496,0.22989529934535485,0.16476436718760099,0.22044869437548295,0.009029930363457095,0.017698663512375905,596,676257126893.14,0.004242038323737937,0.0001367633745037
20yr TBA Eligible,"(-1.547, -1.137]",-1.3612795883361923,0.2629089466632397,0.12493085670882469,0.22557146819482313,0.009342215668192738,0.018310742709657768,583,895915972972.29,0.01903795330746864,0.0008131504415139108
20yr TBA Eligible,"(-1.137, -0.0525]",-0.7729063384267119,0.3174274375757653,0.18625015327831174,0.24143833598068415,0.009948293322769504,0.019498654912628227,589,682111796608.58,0.01720747991565496,0.0005595722859745848
30yr TBA Eligible,"(-4.382000000000001, -2.896]",-3.391022343324251,0.14572055996191485,0.3992204869179286,0.10599686043207746,0.002474428833052285,0.004849880512782479,1835,220386790925686.4,0.06426221296670431,0.03396227553508435
30yr TBA Eligible,"(-2.896, -2.396]",-2.636256381798002,0.20140925876116322,0.37781446560030657,0.14017134540523174,0.0033020363401265783,0.006471991226648093,1802,58644545618319.03,0.031118796999960948,0.00437628873844825
30yr TBA Eligible,"(-2.396, -2.027]",-2.2189223380900107,0.22919640150416046,0.3681089804128912,0.17210104741971244,0.004031896054892103,0.007902516267588523,1822,48371604085503.89,0.019296704579074345,0.0022383561050467564
30yr TBA Eligible,"(-2.027, -1.644]",-1.8320041163556533,0.2578585756371203,0.3572639046236871,0.17412311521547855,0.004079268033684255,0.00799536534602114,1822,30734090713403.16,0.009881419430927586,0.0007282747379124749
30yr TBA Eligible,"(-1.644, -1.263]",-1.4482692307692306,0.2780492687859489,0.35463020798397643,0.20334507366510607,0.004766482045496137,0.009342304809172428,1820,23626218645198.85,0.005864640248451993,0.0003322700051579075
30yr TBA Eligible,"(-1.263, -0.768]",-1.0305066371681415,0.3047873788432288,0.63093410608466,0.21793471498372147,0.005125393358260456,0.010045770982190493,1808,16419988249203.31,0.10637168769029655,0.004188460601759545
30yr TBA Eligible,"(-0.768, -0.221]",-0.5094077801958652,0.3069397602052944,1.1804277462550343,0.22811826003392133,0.005320926952597348,0.010429016827090803,1838,12265417556887.45,0.7629812617732308,0.022441493318606044
30yr TBA Eligible,"(-0.221, 1.792]",0.38312548692264875,0.3379337006770594,0.9547963180632145,0.2784028975068655,0.0065674944186007375,0.012872289060457445,1797,6559411844980.07,0.380519488728498,0.00598545744148799
