Type_of_Security,spread,actual_cpr_pct,pred_cpr_pct,actual_cpr_std,pred_cpr_std,actual_cpr_se,pred_cpr_se,actual_cpr_ci95,pred_cpr_ci95,n_obs
15yr TBA Eligible,-3.049392623527841,0.1627358486849384,0.16971172140219482,0.04719318968897997,0.046123216299561134,0.021105436043920272,0.020626929397349,0.04136665464608373,0.04042878161880404,5
15yr TBA Eligible,-2.236390363379458,0.21387243400912137,0.19934466157619235,0.07903478424706516,0.023321658157091654,0.03951739212353258,0.011660829078545827,0.07745408856212385,0.022855224993949822,4
15yr TBA Eligible,-1.3855361655394223,0.301459238028709,0.2523181413173814,0.06354461148215787,0.042327752128613866,0.031772305741078935,0.021163876064306933,0.06227371925251471,0.04148119708604159,4
15yr TBA Eligible,-0.3482398012940777,0.32109847577757866,0.3711644355406968,0.0458498809414841,0.016468139659071165,0.02292494047074205,0.008234069829535583,0.04493288332265442,0.016138776865889742,4
15yr TBA Eligible,0.011237112287677209,0.45014687114227625,0.4548024981772064,0.0630256492874528,0.054082261619237536,0.0315128246437264,0.027041130809618768,0.061765136301703744,0.053000616386852786,4
15yr TBA Eligible,0.2855248935625342,0.5943935141565104,0.5508021508442784,0.031193512888113298,0.018901917056280627,0.013950163054967425,0.00845319428858124,0.027342319587736152,0.01656826080561923,5
15yr TBA Eligible,0.40961176368117314,0.5346975944501536,0.6021077253931223,0.028959668730153165,0.02165379539648858,0.014479834365076582,0.01082689769824429,0.028380475355550102,0.02122071948855881,4
15yr TBA Eligible,0.5377220013836569,0.6792241529429199,0.6826921614964454,0.11705739279401425,0.03556304440075716,0.05852869639700713,0.01778152220037858,0.11471624493813397,0.03485178351274201,4
15yr TBA Eligible,0.6448112852901303,0.7810841876373459,0.746825506458651,0.13455105480287588,0.013812571204233343,0.06727552740143794,0.0069062856021166715,0.13186003370681837,0.013536319780148676,4
15yr TBA Eligible,0.7106356697094752,0.7904582552849593,0.804956536829099,0.09876887515793917,0.02393112312157356,0.049384437578969584,0.01196556156078678,0.09679349765478039,0.023452500659142086,4
15yr TBA Eligible,0.8205693891688461,0.9933727488546706,0.9133519908092663,0.05343042944537275,0.03213430627944006,0.026715214722686374,0.01606715313972003,0.05236182085646529,0.03149162015385126,4
15yr TBA Eligible,0.8910601535241444,0.9896687249584147,0.9911522416755192,0.1445837489982683,0.012028623349641577,0.06465981824037902,0.005379363897107957,0.12673324375114287,0.010543553238331596,5
20yr TBA Eligible,-2.9956434026317367,0.15121991193434825,0.15515325828049376,0.04226063388293487,0.038667008325855845,0.01889953002689465,0.017292411820632802,0.03704307885271352,0.03389312716844029,5
20yr TBA Eligible,-2.186287584499174,0.19703028944787482,0.18537466860308605,0.08121751874190734,0.02414318943399241,0.04060875937095367,0.012071594716996205,0.0795931683670692,0.023660325645312563,4
20yr TBA Eligible,-1.310012748878337,0.2891844245754671,0.23597973483485135,0.06969155732372222,0.03875641590157499,0.03484577866186111,0.019378207950787495,0.06829772617724778,0.03798128758354349,4
20yr TBA Eligible,-0.06632326063596572,0.30543888488004933,0.35604984841521303,0.06658003646185555,0.018648875005514553,0.033290018230927775,0.009324437502757276,0.06524843573261843,0.018275897505404263,4
20yr TBA Eligible,0.2897276880172509,0.47087805513652825,0.48887396180173626,0.08013951707222494,0.1144998682783055,0.04006975853611247,0.05724993413915275,0.07853672673078044,0.11220987091273939,4
20yr TBA Eligible,0.5830210324898986,0.6278081690552129,0.6309208728492655,0.11115979084136908,0.06753441918102897,0.04971216973719196,0.030202310421949288,0.09743585268489624,0.059196528427020605,5
