Type_of_Security,spread,curve_family,slice_name,n_obs,pred_logit,pred_smm,pred_cpr_pct
15yr TBA Eligible,-2.0,overall,all,51,-8.610036787489864,0.0001826185761477598,0.2189211178695688
15yr TBA Eligible,-1.9494949494949494,overall,all,51,-8.598130844452463,0.00018480541083679868,0.2215399924110431
15yr TBA Eligible,-1.898989898989899,overall,all,51,-8.58631795860833,0.00018700102834541706,0.22416932120755118
15yr TBA Eligible,-1.8484848484848484,overall,all,51,-8.574565033605062,0.00018921138290632568,0.22681623363550943
15yr TBA Eligible,-1.797979797979798,overall,all,51,-8.562838973090253,0.00019144271676674166,0.22948820325355557
15yr TBA Eligible,-1.7474747474747474,overall,all,51,-8.551106680711499,0.0001937015660802487,0.23219305480062324
15yr TBA Eligible,-1.696969696969697,overall,all,51,-8.539335060116393,0.00019599476895495698,0.23493897376833808
15yr TBA Eligible,-1.6464646464646464,overall,all,51,-8.527491014952533,0.00019832947583181245,0.23773451875442297
15yr TBA Eligible,-1.595959595959596,overall,all,51,-8.515541448867516,0.00020071316237549547,0.24058863681401368
15yr TBA Eligible,-1.5454545454545454,overall,all,51,-8.503453265508933,0.0002031536450713612,0.24351068203879117
15yr TBA Eligible,-1.4949494949494948,overall,all,51,-8.49119336852438,0.00020565909973550966,0.24651043760993613
15yr TBA Eligible,-1.4444444444444444,overall,all,51,-8.478728661561453,0.00020823808316165976,0.24959814159050672
15yr TBA Eligible,-1.393939393939394,overall,all,51,-8.466026048267748,0.00021089955814831523,0.2527845167462201
15yr TBA Eligible,-1.3434343434343434,overall,all,51,-8.453052432290864,0.0002136529221731062,0.25608080471139744
15yr TBA Eligible,-1.2929292929292928,overall,all,51,-8.439774717278386,0.00021650804000856416,0.2594988048490378
15yr TBA Eligible,-1.2424242424242424,overall,all,51,-8.42615980687792,0.00021947528060535753,0.26305091819145504
15yr TBA Eligible,-1.191919191919192,overall,all,51,-8.412174604737054,0.0002225655586056979,0.26675019689164997
15yr TBA Eligible,-1.1414141414141414,overall,all,51,-8.397786014503387,0.0002257903808917653,0.27061039966466727
15yr TBA Eligible,-1.0909090909090908,overall,all,51,-8.382960939824512,0.00022916189862227346,0.27464605375581236
15yr TBA Eligible,-1.0404040404040404,overall,all,51,-8.367666284348024,0.0002326929652654107,0.2788725240370791
15yr TBA Eligible,-0.9898989898989898,overall,all,51,-8.351868951721524,0.00023639720119924857,0.2833060899076745
15yr TBA Eligible,-0.9393939393939394,overall,all,51,-8.335535845592599,0.00024028906552224914,0.28796403075816795
15yr TBA Eligible,-0.8888888888888888,overall,all,51,-8.318633869608853,0.00024438393579790773,0.29286472085452714
15yr TBA Eligible,-0.8383838383838385,overall,all,51,-8.301129927417875,0.00024869819655012605,0.2980277346061829
15yr TBA Eligible,-0.7878787878787878,overall,all,51,-8.282990922667262,0.0002532493374311405,0.303473963306559
15yr TBA Eligible,-0.7373737373737375,overall,all,51,-8.264183759004608,0.00025805606210352615,0.30922574457482066
15yr TBA Eligible,-0.6868686868686869,overall,all,51,-8.244675340077508,0.0002631384090139476,0.31530700588734895
15yr TBA Eligible,-0.6363636363636365,overall,all,51,-8.224432569533562,0.0002685178853913354,0.3217434237690314
15yr TBA Eligible,-0.5858585858585859,overall,all,51,-8.20342235102036,0.0002742176159787412,0.3285626004210721
15yr TBA Eligible,-0.5353535353535355,overall,all,51,-8.1816115881855,0.0002802625082094602,0.33579425979753175
