Type_of_Security,spread_bin,mean_spread,actual_cpr_mean,predicted_cpr_mean,actual_cpr_std,actual_cpr_se,actual_cpr_ci95,n_obs,bin_sq_error,upb_weighted_bin_sq_error
15yr TBA Eligible,"(-4.2490000000000006, -3.095]",-3.4366836842105264,0.14183207865201325,0.30283538632404305,0.11266822169675642,0.0036554398079847276,0.007164662023650066,950,0.02592206508133429,0.009150845976990665
15yr TBA Eligible,"(-3.095, -2.665]",-2.893089343379979,0.15939771276100684,0.16326963039069395,0.11895738562538516,0.0039028652215238762,0.007649615834186797,929,1.4991746131081852e-05,3.856752524696339e-06
15yr TBA Eligible,"(-2.665, -2.393]",-2.545082271762208,0.23186746238956238,0.11632697126405395,0.14245463126468752,0.004641422695440207,0.009097188483062806,942,0.013349605089523693,0.0011203389721749898
15yr TBA Eligible,"(-2.393, -2.133]",-2.2618581521739127,0.2182478821316078,0.11682614060035429,0.15153712151182952,0.004996030945975252,0.009792220654111495,920,0.010286369655232396,0.0010802210027348975
15yr TBA Eligible,"(-2.133, -1.865]",-1.9702368983957221,0.2503386408966323,0.13608896066854018,0.16126142434047752,0.005273812508486941,0.010336672516634404,935,0.01305298943222131,0.000939823468328998
15yr TBA Eligible,"(-1.865, -1.475]",-1.678968583599574,0.2639555549838498,0.20102181897675317,0.17666472731659902,0.005765235487991822,0.01129986155646397,939,0.003960655127810933,0.00027284334012456945
15yr TBA Eligible,"(-1.475, -1.014]",-1.291314316469322,0.29656128164842027,0.2240313961136148,0.21203936479687355,0.0069567858952940265,0.013635300354776291,929,0.0052605842956919835,0.0001768427299586436
15yr TBA Eligible,"(-1.014, 0.281]",-0.5590092290988056,0.340273297948319,0.3899801166714365,0.2660938412586957,0.00876809017864774,0.01718545675014957,921,0.002470767827572864,6.494267595254878e-05
20yr TBA Eligible,"(-3.933, -3.024]",-3.344083876221499,0.1286738291488226,0.07150623234440394,0.0990046463745561,0.0039955023581593405,0.007831184621992306,614,0.00326813412439258,0.0011465742632442467
20yr TBA Eligible,"(-3.024, -2.621]",-2.787961626575029,0.1690529584601356,0.0021989615083509552,0.13513818391164642,0.005601657945377139,0.010979249572939193,582,0.027840256298786163,0.007307714131159656
20yr TBA Eligible,"(-2.621, -2.318]",-2.4426916099773246,0.18739824349061485,0.0013579960970280444,0.15891739260233506,0.006553642814133685,0.012845139915702023,588,0.034610973650266975,0.0031899678120787785
20yr TBA Eligible,"(-2.318, -2.081]",-2.199837853107345,0.21542361703694152,0.0012735270174916026,0.20120884405419925,0.008283637018051042,0.01623592855538004,590,0.0458602610553385,0.0033269389799143348
20yr TBA Eligible,"(-2.081, -1.857]",-1.950832768361582,0.19909639733856277,0.001424765071641258,0.16219104240112273,0.006677299544886415,0.013087507107977374,590,0.03907407420306904,0.004473803334244328
20yr TBA Eligible,"(-1.857, -1.547]",-1.6828064876957496,0.22989529934535485,0.0013829886368189946,0.22044869437548295,0.009029930363457095,0.017698663512375905,596,0.05221787614535443,0.001683505052533824
20yr TBA Eligible,"(-1.547, -1.137]",-1.3612795883361923,0.2629089466632397,0.0029140291670672574,0.22557146819482313,0.009342215668192738,0.018310742709657768,583,0.06759735712384153,0.00288722321683926
20yr TBA Eligible,"(-1.137, -0.0525]",-0.7729063384267119,0.3174274375757653,0.057242741332876254,0.24143833598068415,0.009948293322769504,0.019498654912628227,589,0.06769607615900444,0.0022014175389703985
30yr TBA Eligible,"(-4.382000000000001, -2.896]",-3.391022343324251,0.14572055996191485,0.35396806118313345,0.10599686043207746,0.002474428833052285,0.004849880512782479,1835,0.04336702176488144,0.022919265837888527
30yr TBA Eligible,"(-2.896, -2.396]",-2.636256381798002,0.20140925876116322,0.21629256480110712,0.14017134540523174,0.0033020363401265783,0.006471991226648093,1802,0.0002215127986786304,3.1151717281380166e-05
30yr TBA Eligible,"(-2.396, -2.027]",-2.2189223380900107,0.22919640150416046,0.1969529233097371,0.17210104741971244,0.004031896054892103,0.007902516267588523,1822,0.0010396418860742546,0.00012059513857512046
30yr TBA Eligible,"(-2.027, -1.644]",-1.8320041163556533,0.2578585756371203,0.21108509823598878,0.17412311521547855,0.004079268033684255,0.00799536534602114,1822,0.0021877581881941588,0.0001612409059508374
30yr TBA Eligible,"(-1.644, -1.263]",-1.4482692307692306,0.2780492687859489,0.21428731909101525,0.20334507366510607,0.004766482045496137,0.009342304809172428,1820,0.004065586228899246,0.0002303418965217587
30yr TBA Eligible,"(-1.263, -0.768]",-1.0305066371681415,0.3047873788432288,0.2321196154624536,0.21793471498372147,0.005125393358260456,0.010045770982190493,1808,0.005280603834764335,0.0002079275190199732
30yr TBA Eligible,"(-0.768, -0.221]",-0.5094077801958652,0.3069397602052944,0.2665389423458882,0.22811826003392133,0.005320926952597348,0.010429016827090803,1838,0.0016322260837089142,4.80085063516212e-05
30yr TBA Eligible,"(-0.221, 1.792]",0.38312548692264875,0.3379337006770594,0.4453233586033266,0.2784028975068655,0.0065674944186007375,0.012872289060457445,1797,0.011532538629520684,0.00018140337408201361
