Type_of_Security,spread,predicted_cpr_mean,predicted_cpr_p25,predicted_cpr_p75,n_obs
15yr TBA Eligible,-3.9215,0.5423688401642522,0.34438258663889165,0.6921487344053179,7465
15yr TBA Eligible,-3.8696898734177214,0.4832607863669307,0.2940420753923645,0.6209135350518813,7465
15yr TBA Eligible,-3.817879746835443,0.4312850681993697,0.263211398527885,0.5588305489536594,7465
15yr TBA Eligible,-3.7660696202531647,0.3866791468587642,0.23468627686634713,0.504962248000973,7465
15yr TBA Eligible,-3.714259493670886,0.3487158315877434,0.21089420109997592,0.4619917300651699,7465
15yr TBA Eligible,-3.6624493670886076,0.31631379822924643,0.18443301805570744,0.422063982683496,7465
15yr TBA Eligible,-3.610639240506329,0.28892660330813574,0.16164158855664912,0.38750845729963457,7465
15yr TBA Eligible,-3.5588291139240504,0.26549407429885086,0.14273118689530628,0.3602556542880664,7465
15yr TBA Eligible,-3.5070189873417723,0.24564443307433162,0.1271934794154106,0.336516154867017,7465
15yr TBA Eligible,-3.4552088607594937,0.2287197957114897,0.11436913727344011,0.31755604258822956,7465
15yr TBA Eligible,-3.403398734177215,0.21410386736197246,0.10414670075469257,0.2996851180086524,7465
15yr TBA Eligible,-3.3515886075949366,0.2013442990327702,0.09554556743388565,0.28530296640754127,7465
15yr TBA Eligible,-3.299778481012658,0.19022467130262322,0.08837651058116736,0.2700849590295151,7465
15yr TBA Eligible,-3.24796835443038,0.18051717272180767,0.08241593091673494,0.2569968694972058,7465
15yr TBA Eligible,-3.1961582278481013,0.1719900900180954,0.07745525511217988,0.24624887180474397,7465
15yr TBA Eligible,-3.1443481012658228,0.16437536661668486,0.07325061522749365,0.237760558018818,7465
15yr TBA Eligible,-3.092537974683544,0.15758285573313668,0.06968191757676934,0.22922706723341735,7465
15yr TBA Eligible,-3.040727848101266,0.1514283787263185,0.06679130657164523,0.22163799895184022,7465
15yr TBA Eligible,-2.9889177215189875,0.14606167835414988,0.06447125495355754,0.21554825003199385,7465
15yr TBA Eligible,-2.937107594936709,0.14143883293154408,0.06254211598316628,0.2092593333802406,7465
15yr TBA Eligible,-2.8852974683544304,0.1374897500373288,0.061109877855003436,0.20454222599766148,7465
15yr TBA Eligible,-2.833487341772152,0.13416482362109022,0.06029257208264305,0.20075706498601242,7465
15yr TBA Eligible,-2.781677215189873,0.1314443646347432,0.0598811335671634,0.19707603655438888,7465
15yr TBA Eligible,-2.7298670886075946,0.12927964456726349,0.05972488135462806,0.1948257413192489,7465
15yr TBA Eligible,-2.6780569620253165,0.12761631440513144,0.059570864261504486,0.193367098296926,7465
15yr TBA Eligible,-2.626246835443038,0.12642906147747626,0.05961997712921052,0.19200844793136884,7465
15yr TBA Eligible,-2.57443670886076,0.12567907661109978,0.060206433272946835,0.19202567248213231,7465
15yr TBA Eligible,-2.5226265822784812,0.12537751358079874,0.06137245397729307,0.19259833662245152,7465
15yr TBA Eligible,-2.4708164556962027,0.12550443902864628,0.06267746494956761,0.19433031793348876,7465
15yr TBA Eligible,-2.419006329113924,0.12604933794234563,0.06425275585095758,0.19471066155656302,7465
15yr TBA Eligible,-2.3671962025316455,0.12699844311559916,0.06620479055674533,0.19634078841026525,7465
15yr TBA Eligible,-2.315386075949367,0.12834332892649905,0.06843846486771499,0.1982871386755236,7465
15yr TBA Eligible,-2.2635759493670884,0.13008308192275064,0.07093903051083039,0.20047555822875207,7465
15yr TBA Eligible,-2.21176582278481,0.13221387459369877,0.0738602294753532,0.2021364316931784,7465
15yr TBA Eligible,-2.1599556962025317,0.13476884262627664,0.07723214478928542,0.20538762531573385,7465
15yr TBA Eligible,-2.108145569620253,0.13772984312180245,0.08093805516725672,0.20890580518863056,7465
15yr TBA Eligible,-2.056335443037975,0.14110323258518465,0.08426694505624388,0.2117262689242283,7465
15yr TBA Eligible,-2.0045253164556964,0.14490504350242767,0.08773918327672492,0.21635663966543817,7465
15yr TBA Eligible,-1.9527151898734176,0.1491483855000635,0.08989296255043078,0.22196184715946865,7465
15yr TBA Eligible,-1.9009050632911393,0.15379477177864334,0.0943641145094043,0.2269906491320417,7465
15yr TBA Eligible,-1.8490949367088607,0.158797764898523,0.09609012536450079,0.23439726737463085,7465
15yr TBA Eligible,-1.7972848101265821,0.16407381204527138,0.0982931059456571,0.24225952879824986,7465
15yr TBA Eligible,-1.745474683544304,0.16963232290347666,0.10159735480931298,0.24911169052083126,7465
15yr TBA Eligible,-1.6936645569620254,0.17554394121426684,0.10557149948314803,0.2573945387074228,7465
15yr TBA Eligible,-1.6418544303797469,0.18183631595600958,0.10951861721035794,0.26470030593747085,7465
15yr TBA Eligible,-1.5900443037974683,0.18844702815002715,0.11491023624605745,0.27266290224771117,7465
15yr TBA Eligible,-1.5382341772151897,0.19535275184829365,0.12059077218129488,0.279348185759587,7465
15yr TBA Eligible,-1.4864240506329116,0.20262282380018054,0.12733237734435798,0.2879633132320536,7465
15yr TBA Eligible,-1.434613924050633,0.21035966073238407,0.13272700946586058,0.2962224030281013,7465
15yr TBA Eligible,-1.3828037974683545,0.21854545598006483,0.1380814378419415,0.30581381800173224,7465
15yr TBA Eligible,-1.330993670886076,0.227127982803519,0.14698258281596877,0.3148235761765261,7465
15yr TBA Eligible,-1.2791835443037973,0.23614347952436945,0.15614660849886386,0.32573597931983,7465
15yr TBA Eligible,-1.2273734177215192,0.24564107768959503,0.16424518028010926,0.33838016016087824,7465
15yr TBA Eligible,-1.1755632911392406,0.25544215552421085,0.17390097320595377,0.34889495996737185,7465
15yr TBA Eligible,-1.123753164556962,0.26525551412019416,0.1824813062507924,0.3591777056669132,7465
15yr TBA Eligible,-1.0719430379746835,0.27516930997891675,0.19280229642839597,0.36461118972741513,7465
15yr TBA Eligible,-1.020132911392405,0.2851986103966336,0.20147916131133536,0.3739663172872998,7465
15yr TBA Eligible,-0.9683227848101268,0.2951757913932074,0.21439473694747635,0.3798548159636095,7465
15yr TBA Eligible,-0.9165126582278482,0.30530005154484186,0.2236520169392464,0.3856193186600132,7465
15yr TBA Eligible,-0.8647025316455696,0.31565004900594995,0.23643854209376425,0.3904614101740367,7465
15yr TBA Eligible,-0.8128924050632911,0.32645834122014644,0.25174516544105296,0.395637893350409,7465
15yr TBA Eligible,-0.7610822784810125,0.33739977682336086,0.26905445955199836,0.39814726751679075,7465
15yr TBA Eligible,-0.7092721518987344,0.34822198883765765,0.28303328309834397,0.40714501874479225,7465
15yr TBA Eligible,-0.6574620253164558,0.35899275059432967,0.29739583624446286,0.4216089728345751,7465
15yr TBA Eligible,-0.6056518987341772,0.3700315188996539,0.3111417473221856,0.4306131532843094,7465
15yr TBA Eligible,-0.5538417721518987,0.38075692715086085,0.32606062717709383,0.44330192532936463,7465
15yr TBA Eligible,-0.5020316455696201,0.39162088857928823,0.341753053614513,0.4512901642530265,7465
15yr TBA Eligible,-0.450221518987342,0.40349215108667635,0.35922730016096915,0.4644998523595012,7465
15yr TBA Eligible,-0.3984113924050634,0.41642254274644985,0.376337453470299,0.47579621888461654,7465
15yr TBA Eligible,-0.34660126582278483,0.4308054637973361,0.3946994046770458,0.4921037730899136,7465
15yr TBA Eligible,-0.29479113924050626,0.4456567694404559,0.41397950735073685,0.510361563665318,7465
15yr TBA Eligible,-0.2429810126582277,0.4618816138949376,0.42938553329233686,0.5326038439683045,7465
15yr TBA Eligible,-0.19117088607594956,0.4786016288100483,0.4419874152175929,0.5503397898565243,7465
15yr TBA Eligible,-0.139360759493671,0.4954644719438399,0.45088063947216206,0.5682442397743737,7465
15yr TBA Eligible,-0.08755063291139242,0.5125867414404606,0.46671485632425735,0.5872201978993075,7465
