Type_of_Security,spread,predicted_cpr_mean,dCPR_dspread
15yr TBA Eligible,-3.9215,0.5423688401642522,-1.1408590886851682
15yr TBA Eligible,-3.8696898734177214,0.4832607863669307,-1.0720276063065848
15yr TBA Eligible,-3.817879746835443,0.4312850681993697,-0.9320729930546259
15yr TBA Eligible,-3.7660696202531647,0.3866791468587642,-0.7968445751671753
15yr TBA Eligible,-3.714259493670886,0.3487158315877434,-0.6790694529357308
15yr TBA Eligible,-3.6624493670886076,0.31631379822924643,-0.5770033024784995
15yr TBA Eligible,-3.610639240506329,0.28892660330813574,-0.49044199737371663
15yr TBA Eligible,-3.5588291139240504,0.26549407429885086,-0.41769990819332214
15yr TBA Eligible,-3.5070189873417723,0.24564443307433162,-0.3548946992916613
15yr TBA Eligible,-3.4552088607594937,0.2287197957114897,-0.3043861093667686
15yr TBA Eligible,-3.403398734177215,0.21410386736197246,-0.2641905982920638
15yr TBA Eligible,-3.3515886075949366,0.2013442990327702,-0.23044911906774823
15yr TBA Eligible,-3.299778481012658,0.19022467130262322,-0.20099474451087773
15yr TBA Eligible,-3.24796835443038,0.18051717272180767,-0.17597506981159317
15yr TBA Eligible,-3.1961582278481013,0.1719900900180954,-0.15577848550020756
15yr TBA Eligible,-3.1443481012658228,0.16437536661668486,-0.1390387867715288
15yr TBA Eligible,-3.092537974683544,0.15758285573313668,-0.12494649930844659
15yr TBA Eligible,-3.040727848101266,0.1514283787263185,-0.11118653957243585
15yr TBA Eligible,-2.9889177215189875,0.14606167835414988,-0.09640534055548255
15yr TBA Eligible,-2.937107594936709,0.14143883293154408,-0.08272444869641649
15yr TBA Eligible,-2.8852974683544304,0.1374897500373288,-0.07019872166208807
15yr TBA Eligible,-2.833487341772152,0.13416482362109022,-0.05834173550015387
15yr TBA Eligible,-2.781677215189873,0.1314443646347432,-0.04714502140878474
15yr TBA Eligible,-2.7298670886075946,0.12927964456726349,-0.036943069648098126
15yr TBA Eligible,-2.6780569620253165,0.12761631440513144,-0.02750990277219545
15yr TBA Eligible,-2.626246835443038,0.12642906147747626,-0.018695551640422803
15yr TBA Eligible,-2.57443670886076,0.12567907661109978,-0.010148092332949332
15yr TBA Eligible,-2.5226265822784812,0.12537751358079874,-0.0016853614724929855
15yr TBA Eligible,-2.4708164556962027,0.12550443902864628,0.006483523645517186
15yr TBA Eligible,-2.419006329113924,0.12604933794234563,0.014418070225907353
15yr TBA Eligible,-2.3671962025316455,0.12699844311559916,0.02213844218765204
15yr TBA Eligible,-2.315386075949367,0.12834332892649905,0.029768686264960653
15yr TBA Eligible,-2.2635759493670884,0.13008308192275064,0.03735317709611263
15yr TBA Eligible,-2.21176582278481,0.13221387459369877,0.045220510087778276
15yr TBA Eligible,-2.1599556962025317,0.13476884262627664,0.05323253282680063
15yr TBA Eligible,-2.108145569620253,0.13772984312180245,0.06113080952281136
15yr TBA Eligible,-2.056335443037975,0.14110323258518465,0.06924515392980624
15yr TBA Eligible,-2.0045253164556964,0.14490504350242767,0.07764073787874781
15yr TBA Eligible,-1.9527151898734176,0.1491483855000635,0.08579141629868525
15yr TBA Eligible,-1.9009050632911393,0.15379477177864334,0.09312252290230849
15yr TBA Eligible,-1.8490949367088607,0.158797764898523,0.09919914256824014
15yr TBA Eligible,-1.7972848101265821,0.16407381204527138,0.10456023483891319
15yr TBA Eligible,-1.745474683544304,0.16963232290347666,0.11069389254222362
15yr TBA Eligible,-1.6936645569620254,0.17554394121426684,0.11777613622649619
15yr TBA Eligible,-1.6418544303797469,0.18183631595600958,0.12452282774554901
15yr TBA Eligible,-1.5900443037974683,0.18844702815002715,0.13044202730154408
15yr TBA Eligible,-1.5382341772151897,0.19535275184829365,0.1368052597559395
15yr TBA Eligible,-1.4864240506329116,0.20262282380018054,0.1448260202593632
15yr TBA Eligible,-1.434613924050633,0.21035966073238407,0.153663320573034
15yr TBA Eligible,-1.3828037974683545,0.21854545598006483,0.16182475490100856
15yr TBA Eligible,-1.330993670886076,0.227127982803519,0.16983189103347973
15yr TBA Eligible,-1.2791835443037973,0.23614347952436945,0.17866289958465753
15yr TBA Eligible,-1.2273734177215192,0.24564107768959503,0.18624424676123574
15yr TBA Eligible,-1.1755632911392406,0.25544215552421085,0.18929153164150092
15yr TBA Eligible,-1.123753164556962,0.26525551412019416,0.1903793307991406
15yr TBA Eligible,-1.0719430379746835,0.27516930997891675,0.19246330391384214
15yr TBA Eligible,-1.020132911392405,0.2851986103966336,0.19307500998399263
15yr TBA Eligible,-0.9683227848101268,0.2951757913932074,0.19399143057762736
15yr TBA Eligible,-0.9165126582278482,0.30530005154484186,0.19758934173059606
15yr TBA Eligible,-0.8647025316455696,0.31565004900594995,0.2041906772964892
15yr TBA Eligible,-0.8128924050632911,0.32645834122014644,0.20989842384259205
15yr TBA Eligible,-0.7610822784810125,0.33739977682336086,0.2100327585858035
15yr TBA Eligible,-0.7092721518987344,0.34822198883765765,0.20838564963431994
15yr TBA Eligible,-0.6574620253164558,0.35899275059432967,0.21047555276052998
15yr TBA Eligible,-0.6056518987341772,0.3700315188996539,0.21003786317688222
15yr TBA Eligible,-0.5538417721518987,0.38075692715086085,0.20835086790753854
15yr TBA Eligible,-0.5020316455696201,0.39162088857928823,0.21940907536396637
15yr TBA Eligible,-0.450221518987342,0.40349215108667635,0.23935141451328779
15yr TBA Eligible,-0.3984113924050634,0.41642254274644985,0.26359048425874887
15yr TBA Eligible,-0.34660126582278483,0.4308054637973361,0.28212850095608033
15yr TBA Eligible,-0.29479113924050626,0.4456567694404559,0.29990420934650786
15yr TBA Eligible,-0.2429810126582277,0.4618816138949376,0.3179384180549478
15yr TBA Eligible,-0.19117088607594956,0.4786016288100483,0.32409550279297417
15yr TBA Eligible,-0.139360759493671,0.4954644719438399,0.32797751011514364
15yr TBA Eligible,-0.08755063291139242,0.5125867414404606,0.32318221210516107
15yr TBA Eligible,-0.03574050632911385,0.5289526945804583,0.30288959386859826
15yr TBA Eligible,0.016069620253164718,0.5439722378380346,0.2845465314336053
15yr TBA Eligible,0.06787974683544284,0.558437478204705,0.27440231933829473
15yr TBA Eligible,0.11968987341772142,0.5724058756368102,0.2581018619801503
15yr TBA Eligible,0.17149999999999999,0.5851820584853318,0.2465962484811144
20yr TBA Eligible,-3.8950000000000005,0.9066017582225557,17.166845663515687
20yr TBA Eligible,-3.8496265822784816,1.6855202174740969,12.144647764013609
20yr TBA Eligible,-3.8042531645569624,2.008690110377154,0.0953365296973736
20yr TBA Eligible,-3.7588797468354436,1.694171705846261,-10.320851642434452
20yr TBA Eligible,-3.7135063291139243,1.0721054847491427,-12.12194504746321
20yr TBA Eligible,-3.6681329113924055,0.5941435533745655,-8.13695516797978
20yr TBA Eligible,-3.6227594936708867,0.333702553113107,-4.412784305165719
20yr TBA Eligible,-3.5773860759493674,0.1936973421880721,-2.3914652355065
20yr TBA Eligible,-3.5320126582278486,0.11668465091885172,-1.3450776752790898
20yr TBA Eligible,-3.4866392405063293,0.07163579973141665,-0.7877680778166924
20yr TBA Eligible,-3.4412658227848105,0.04519719079394175,-0.4640253965462128
20yr TBA Eligible,-3.3958924050632913,0.029526963429647095,-0.27550643425747834
20yr TBA Eligible,-3.3505189873417724,0.020195853740880117,-0.16807128081070308
20yr TBA Eligible,-3.3051455696202536,0.014275026567217654,-0.10828553189627306
20yr TBA Eligible,-3.2597721518987344,0.010369284397027194,-0.07222605042401808
20yr TBA Eligible,-3.2143987341772156,0.007720741054688705,-0.04937382309503628
20yr TBA Eligible,-3.1690253164556963,0.005888766197428271,-0.03443353760686264
20yr TBA Eligible,-3.1236518987341775,0.004596006483757074,-0.024433270042839343
20yr TBA Eligible,-3.078278481012658,0.0036715242615154207,-0.017426866969943465
20yr TBA Eligible,-3.0329050632911394,0.0030145734545478963,-0.012496313103370814
20yr TBA Eligible,-2.9875316455696206,0.0025375233926791547,-0.009052722307616754
20yr TBA Eligible,-2.9421582278481013,0.0021930675529870797,-0.0064615348846523805
20yr TBA Eligible,-2.8967848101265825,0.0019511595497921541,-0.004584304708004878
20yr TBA Eligible,-2.8514113924050637,0.0017770564080290185,-0.0033600495883657037
20yr TBA Eligible,-2.8060379746835444,0.0016462456827162843,-0.0025258869637571763
20yr TBA Eligible,-2.760664556962025,0.0015478401593812298,-0.0018664279678115674
20yr TBA Eligible,-2.7152911392405064,0.0014768732510550037,-0.0013654721929909769
20yr TBA Eligible,-2.6699177215189875,0.001423927878981834,-0.0010122769222814729
20yr TBA Eligible,-2.6245443037974683,0.0013850123237659417,-0.000738319568488386
20yr TBA Eligible,-2.5791708860759495,0.0013569277145958432,-0.0005281736478901372
20yr TBA Eligible,-2.5337974683544306,0.0013370822366555065,-0.00035999202223185346
20yr TBA Eligible,-2.4884240506329114,0.0013242595777935627,-0.00022108936643203993
20yr TBA Eligible,-2.443050632911392,0.0013170190763016924,-0.00010973499840926174
20yr TBA Eligible,-2.3976772151898733,0.0013143014739505755,-1.4642705418128898e-05
20yr TBA Eligible,-2.3523037974683545,0.0013156902971226726,7.918331151662329e-05
20yr TBA Eligible,-2.3069303797468352,0.0013214871088906093,0.00017411951165189482
20yr TBA Eligible,-2.2615569620253164,0.0013314910917939693,0.00027511701648711036
20yr TBA Eligible,-2.2161835443037976,0.0013464531075133446,0.000390092014199506
20yr TBA Eligible,-2.1708101265822783,0.001366890707614175,0.0005154963795606267
20yr TBA Eligible,-2.125436708860759,0.001393232772640815,0.0006556519619074982
20yr TBA Eligible,-2.0800632911392403,0.0014263890483093,0.0008250693336332195
20yr TBA Eligible,-2.0346898734177215,0.0014681052036891254,0.0009925776884506972
20yr TBA Eligible,-1.9893164556962024,0.0015164623324675666,0.0011818486367677211
20yr TBA Eligible,-1.9439430379746834,0.0015753542274484645,0.001430570331641231
20yr TBA Eligible,-1.8985696202531643,0.0016462820629427057,0.001715891152040433
20yr TBA Eligible,-1.8531962025316453,0.0017310659194608427,0.00207029232990295
20yr TBA Eligible,-1.8078227848101265,0.0018341545403233919,0.0024867408954779846
20yr TBA Eligible,-1.7624493670886072,0.0019567297862922565,0.0028963348716782855
20yr TBA Eligible,-1.7170759493670884,0.002096987764311514,0.0034049721809990448
20yr TBA Eligible,-1.6717025316455691,0.0022657202364894996,0.004137881344926143
20yr TBA Eligible,-1.6263291139240503,0.0024724874018023438,0.005021439680849522
20yr TBA Eligible,-1.580955696202531,0.002721399996894693,0.006116620631265633
20yr TBA Eligible,-1.5355822784810123,0.0030275513676952977,0.0074998430258300455
20yr TBA Eligible,-1.4902088607594934,0.0034019870178083056,0.009087979406898948
20yr TBA Eligible,-1.4448354430379742,0.003852256739442875,0.011043613291697209
20yr TBA Eligible,-1.3994620253164554,0.0044041599758865,0.013547273395319345
20yr TBA Eligible,-1.354088607594936,0.005081628928949768,0.01661149928186563
20yr TBA Eligible,-1.3087151898734173,0.005911600967680103,0.020156610109399967
20yr TBA Eligible,-1.2633417721518985,0.006910777509636956,0.024221740985890527
20yr TBA Eligible,-1.2179683544303792,0.008109647311070604,0.029071009737174566
20yr TBA Eligible,-1.1725949367088604,0.009548879646419291,0.034754751601904735
20yr TBA Eligible,-1.1272215189873411,0.01126353103555232,0.04135686120439927
