Type_of_Security,model_name,spread_bin,mean_spread,actual_cpr_mean,predicted_cpr_mean,actual_cpr_std,actual_cpr_se,actual_cpr_ci95,n_obs
15yr TBA Eligible,M1,"(-4.2490000000000006, -2.184]",-2.7862748575867426,0.18340498290523802,0.1314846307360639,0.13446470339264693,0.0021637255006283786,0.004240901981231622,3862
15yr TBA Eligible,M1,"(-2.184, -1.317]",-1.7295662165671253,0.276680788636156,0.19137750680730237,0.18328714592473855,0.002953556270104603,0.005788970289405022,3851
15yr TBA Eligible,M1,"(-1.317, -0.554]",-0.9036537758035013,0.3587005370626062,0.2732807239297195,0.22094265219106432,0.0035714973469833594,0.007000134800087384,3827
15yr TBA Eligible,M1,"(-0.554, -0.05]",-0.28080796071336256,0.42921830153804624,0.35835185381727436,0.2471574668211849,0.003973510550635373,0.00778808067924533,3869
15yr TBA Eligible,M1,"(-0.05, 0.288]",0.12899986945169717,0.505262371147778,0.4389307838929677,0.33173779425576017,0.005360379846485713,0.010506344499111997,3830
15yr TBA Eligible,M1,"(0.288, 0.519]",0.3983377956849493,0.6486185991827352,0.529737388250169,0.4362434282176722,0.007033440282701036,0.01378554295409403,3847
15yr TBA Eligible,M1,"(0.519, 0.783]",0.6575642894325873,0.7980610186063949,0.6176950344516013,0.5028063753544916,0.008111890795573702,0.015899305959324456,3842
15yr TBA Eligible,M1,"(0.783, 0.99]",0.8835382712835199,0.8323348546831661,0.6829573751438262,0.5572692285601992,0.008991722785507434,0.01762377665959457,3841
15yr TBA Eligible,M1,"(0.99, 1.255]",1.132618174726989,0.8735567463934152,0.7307643130215903,0.5262104462593234,0.008485058198040744,0.016630714068159858,3846
15yr TBA Eligible,M1,"(1.255, 1.528]",1.36794384057971,1.0277953880847452,0.8199617505942605,0.6601789001479428,0.010620453968402936,0.020816089778069754,3864
15yr TBA Eligible,M1,"(1.528, 1.844]",1.7054563802083333,0.9219122678310557,0.7971892409035368,0.5963109571523074,0.009622926692549546,0.01886093631739711,3840
15yr TBA Eligible,M1,"(1.844, 2.602]",2.1091891151135473,1.0866386606462737,0.911382673222244,0.6640001050359613,0.010727834675642684,0.02102655596425966,3831
20yr TBA Eligible,M1,"(-3.933, -2.043]",-2.6454315710536185,0.1741863179151633,0.10898355902238817,0.15168089922728442,0.0029371044199351178,0.0057567246630728305,2667
20yr TBA Eligible,M1,"(-2.043, -1.137]",-1.596220472938796,0.2571855417392232,0.13726223240741006,0.21510870031076032,0.004189722637294739,0.008211856369097688,2636
20yr TBA Eligible,M1,"(-1.137, -0.224]",-0.6720626098970106,0.3848142851229268,0.22685197687620737,0.2958722828992609,0.005743198453892339,0.011256668969628984,2654
20yr TBA Eligible,M1,"(-0.224, 0.305]",0.07076109215017065,0.420959042177142,0.35482498884222,0.3135836695232194,0.006106584527309225,0.01196890567352608,2637
20yr TBA Eligible,M1,"(0.305, 0.609]",0.44864024467145913,0.5650293659401566,0.5026893938965559,0.404364753530313,0.007865470593490768,0.015416322363241905,2643
