Type_of_Security,spread,model_name,curve_family,slice_name,predicted_cpr_mean,predicted_cpr_p25,predicted_cpr_p75,n_obs
15yr TBA Eligible,-3.452,M1,loan_age_slice,high_loan_age,0.17085331038491625,0.15079853688095834,0.1901124556124567,15315
15yr TBA Eligible,-3.378044303797468,M1,loan_age_slice,high_loan_age,0.1664883719082495,0.14866959227237686,0.184072562691584,15315
15yr TBA Eligible,-3.3040886075949367,M1,loan_age_slice,high_loan_age,0.16301698654002522,0.14674076535499125,0.17934027714127665,15315
15yr TBA Eligible,-3.230132911392405,M1,loan_age_slice,high_loan_age,0.1603540462133054,0.14580456882243853,0.17551064620081602,15315
15yr TBA Eligible,-3.1561772151898735,M1,loan_age_slice,high_loan_age,0.15843007580514926,0.14515655808126082,0.17275110833352425,15315
15yr TBA Eligible,-3.0822215189873416,M1,loan_age_slice,high_loan_age,0.1571886234258984,0.14500238661498965,0.17061322063380846,15315
15yr TBA Eligible,-3.0082658227848103,M1,loan_age_slice,high_loan_age,0.15658415623641794,0.14559662259752137,0.16939456267991426,15315
15yr TBA Eligible,-2.9343101265822784,M1,loan_age_slice,high_loan_age,0.15658035264992173,0.14639872105498553,0.16897892310111517,15315
15yr TBA Eligible,-2.860354430379747,M1,loan_age_slice,high_loan_age,0.15714870589481858,0.14759578704577336,0.1690638055211524,15315
15yr TBA Eligible,-2.786398734177215,M1,loan_age_slice,high_loan_age,0.15826737216910722,0.14926242744190965,0.16995062622700008,15315
15yr TBA Eligible,-2.7124430379746833,M1,loan_age_slice,high_loan_age,0.15992021048667243,0.15135501624575776,0.17132837388231792,15315
15yr TBA Eligible,-2.638487341772152,M1,loan_age_slice,high_loan_age,0.1620959718918761,0.1536391012401883,0.17338191118018154,15315
15yr TBA Eligible,-2.56453164556962,M1,loan_age_slice,high_loan_age,0.16478760381045013,0.1565072954195279,0.176139186539348,15315
15yr TBA Eligible,-2.4905759493670887,M1,loan_age_slice,high_loan_age,0.16799164151674886,0.15971493064022013,0.17942743002536954,15315
15yr TBA Eligible,-2.416620253164557,M1,loan_age_slice,high_loan_age,0.17170766348584934,0.16326180206721608,0.18338461667732897,15315
15yr TBA Eligible,-2.342664556962025,M1,loan_age_slice,high_loan_age,0.17593779111246652,0.16715326210806625,0.1879852310531671,15315
15yr TBA Eligible,-2.2687088607594936,M1,loan_age_slice,high_loan_age,0.18068621618631092,0.17139549051626846,0.19322226160505274,15315
15yr TBA Eligible,-2.1947531645569622,M1,loan_age_slice,high_loan_age,0.18595874182779745,0.17622559833717633,0.19908470573325454,15315
15yr TBA Eligible,-2.1207974683544304,M1,loan_age_slice,high_loan_age,0.19176232447913316,0.1813087362726007,0.20566448622438838,15315
15yr TBA Eligible,-2.0468417721518986,M1,loan_age_slice,high_loan_age,0.19810460615464984,0.18678248859240743,0.2127738144994562,15315
15yr TBA Eligible,-1.9728860759493672,M1,loan_age_slice,high_loan_age,0.20499342759916686,0.19270508524186214,0.2204766073385156,15315
15yr TBA Eligible,-1.8989303797468353,M1,loan_age_slice,high_loan_age,0.21243631438679714,0.19914328633591216,0.22884566126394335,15315
15yr TBA Eligible,-1.8249746835443037,M1,loan_age_slice,high_loan_age,0.22043992940564752,0.20602465206113196,0.23784353677134273,15315
15yr TBA Eligible,-1.751018987341772,M1,loan_age_slice,high_loan_age,0.22900948669655916,0.2134297507672911,0.2475340333213505,15315
15yr TBA Eligible,-1.6770632911392405,M1,loan_age_slice,high_loan_age,0.23814812331807725,0.22103837972564655,0.25791907142785897,15315
15yr TBA Eligible,-1.6031075949367088,M1,loan_age_slice,high_loan_age,0.24785622785662442,0.22916612679836357,0.26887901349995635,15315
15yr TBA Eligible,-1.5291518987341772,M1,loan_age_slice,high_loan_age,0.2581307264412262,0.2377328978611315,0.2803945837588695,15315
15yr TBA Eligible,-1.4551962025316456,M1,loan_age_slice,high_loan_age,0.26896432969185846,0.24706642214158414,0.29264613364139436,15315
15yr TBA Eligible,-1.3812405063291138,M1,loan_age_slice,high_loan_age,0.28034474694898476,0.2566756228245981,0.305631586527666,15315
15yr TBA Eligible,-1.3072848101265824,M1,loan_age_slice,high_loan_age,0.29225387739484887,0.26700845725611266,0.31896970415997705,15315
15yr TBA Eligible,-1.2333291139240505,M1,loan_age_slice,high_loan_age,0.30466699125488694,0.2776394490211387,0.33301643778218537,15315
15yr TBA Eligible,-1.1593734177215191,M1,loan_age_slice,high_loan_age,0.31755191809730005,0.28865404729908617,0.34751003955403315,15315
15yr TBA Eligible,-1.0854177215189873,M1,loan_age_slice,high_loan_age,0.330868263232228,0.29996192777453357,0.3626966330599779,15315
15yr TBA Eligible,-1.0114620253164555,M1,loan_age_slice,high_loan_age,0.34456667720880574,0.31202928781014494,0.37830637069846684,15315
15yr TBA Eligible,-0.9375063291139241,M1,loan_age_slice,high_loan_age,0.35858820723857493,0.3242000577830084,0.39395800118532387,15315
15yr TBA Eligible,-0.8635506329113922,M1,loan_age_slice,high_loan_age,0.372863762812831,0.3366755000155819,0.40964761303671215,15315
15yr TBA Eligible,-0.7895949367088608,M1,loan_age_slice,high_loan_age,0.3873137305682047,0.3495188411912542,0.4254745984160424,15315
15yr TBA Eligible,-0.715639240506329,M1,loan_age_slice,high_loan_age,0.4018477752960334,0.3627003648567717,0.44145151603505184,15315
15yr TBA Eligible,-0.6416835443037976,M1,loan_age_slice,high_loan_age,0.41636486457479593,0.37618493453205337,0.4574796145601745,15315
15yr TBA Eligible,-0.5677278481012658,M1,loan_age_slice,high_loan_age,0.43075355351612193,0.3899316684850329,0.4730627899744766,15315
15yr TBA Eligible,-0.49377215189873436,M1,loan_age_slice,high_loan_age,0.44489256325853177,0.40327865552244324,0.487751401630665,15315
15yr TBA Eligible,-0.4198164556962025,M1,loan_age_slice,high_loan_age,0.45865168186723326,0.41719729536964234,0.5019639591447467,15315
15yr TBA Eligible,-0.3458607594936707,M1,loan_age_slice,high_loan_age,0.47189300902682,0.43070717370387035,0.5152619044844431,15315
15yr TBA Eligible,-0.2719050632911393,M1,loan_age_slice,high_loan_age,0.48447255627328933,0.4439797192204331,0.5281965236691888,15315
15yr TBA Eligible,-0.19794936708860744,M1,loan_age_slice,high_loan_age,0.49624220256457086,0.45693871671770303,0.5390591428719449,15315
