Type_of_Security,spread,model_name,curve_family,slice_name,predicted_cpr_mean,predicted_cpr_p25,predicted_cpr_p75,n_obs
15yr TBA Eligible,-3.452,M1,overall,all,0.11839251052694451,0.08155921078427664,0.15116066578108045,46150
15yr TBA Eligible,-3.378044303797468,M1,overall,all,0.118462130107362,0.08460538613690449,0.14910950411425317,46150
15yr TBA Eligible,-3.3040886075949367,M1,overall,all,0.11885494396112123,0.08783284540964109,0.14764558306058495,46150
15yr TBA Eligible,-3.230132911392405,M1,overall,all,0.1195400786762414,0.09079876699995548,0.14679217033548575,46150
15yr TBA Eligible,-3.1561772151898735,M1,overall,all,0.12049253971128666,0.09377854250066653,0.1463267497427756,46150
15yr TBA Eligible,-3.0822215189873416,M1,overall,all,0.12169236138639902,0.09658072474880708,0.14652064865624537,46150
15yr TBA Eligible,-3.0082658227848103,M1,overall,all,0.12312391888827669,0.09936274279495061,0.14712825217851888,46150
15yr TBA Eligible,-2.9343101265822784,M1,overall,all,0.1247753662610598,0.10196586246071782,0.14802176834565195,46150
15yr TBA Eligible,-2.860354430379747,M1,overall,all,0.12663817258983284,0.10455773479259856,0.1492551436932943,46150
15yr TBA Eligible,-2.786398734177215,M1,overall,all,0.12870673483335857,0.10719148345353924,0.1507759811675613,46150
15yr TBA Eligible,-2.7124430379746833,M1,overall,all,0.1309780505192046,0.10986994503076053,0.1528312479217031,46150
15yr TBA Eligible,-2.638487341772152,M1,overall,all,0.13345143714064273,0.11250668307234424,0.15508902648999623,46150
15yr TBA Eligible,-2.56453164556962,M1,overall,all,0.13612828786214615,0.11504401364063055,0.15798848311698865,46150
15yr TBA Eligible,-2.4905759493670887,M1,overall,all,0.139011855253486,0.11763671802449416,0.16114064911401105,46150
15yr TBA Eligible,-2.416620253164557,M1,overall,all,0.14210705638757645,0.12026867520275042,0.16470983901103464,46150
15yr TBA Eligible,-2.342664556962025,M1,overall,all,0.14542029387545924,0.12295614801238752,0.16870617311910419,46150
15yr TBA Eligible,-2.2687088607594936,M1,overall,all,0.14895928836836025,0.1257081586569675,0.17305736934857263,46150
15yr TBA Eligible,-2.1947531645569622,M1,overall,all,0.15273291880828488,0.1284677052325489,0.1779012236203803,46150
15yr TBA Eligible,-2.1207974683544304,M1,overall,all,0.1567510673176894,0.13125299596197237,0.1831032029568802,46150
15yr TBA Eligible,-2.0468417721518986,M1,overall,all,0.16102446613832186,0.13405148203430306,0.1886857609761372,46150
15yr TBA Eligible,-1.9728860759493672,M1,overall,all,0.16556454450453734,0.1369678460122148,0.1947239472101292,46150
15yr TBA Eligible,-1.8989303797468353,M1,overall,all,0.17038327380739188,0.1401359338364494,0.2014794009741805,46150
15yr TBA Eligible,-1.8249746835443037,M1,overall,all,0.175493009908361,0.14330165599437672,0.20828184957084606,46150
15yr TBA Eligible,-1.751018987341772,M1,overall,all,0.18090633202828754,0.14676173109722246,0.21563073594023097,46150
15yr TBA Eligible,-1.6770632911392405,M1,overall,all,0.1866358782979256,0.15006403630488663,0.22340032310721458,46150
15yr TBA Eligible,-1.6031075949367088,M1,overall,all,0.19269417883844048,0.15359640213896686,0.23146562424590789,46150
15yr TBA Eligible,-1.5291518987341772,M1,overall,all,0.19909348816715794,0.15741659445107636,0.23999856578883483,46150
15yr TBA Eligible,-1.4551962025316456,M1,overall,all,0.20584561981662639,0.16117405699088705,0.24934651157249021,46150
15yr TBA Eligible,-1.3812405063291138,M1,overall,all,0.21296178732927262,0.16555223683981657,0.2589154415642225,46150
15yr TBA Eligible,-1.3072848101265824,M1,overall,all,0.22045245725681195,0.16983016826054298,0.2689089289248048,46150
15yr TBA Eligible,-1.2333291139240505,M1,overall,all,0.22832722145715326,0.1746701287726693,0.2794859168122832,46150
15yr TBA Eligible,-1.1593734177215191,M1,overall,all,0.23659469783947037,0.1796172687498765,0.2905177698871775,46150
15yr TBA Eligible,-1.0854177215189873,M1,overall,all,0.2452624707498242,0.18504020412436484,0.3017366705250102,46150
15yr TBA Eligible,-1.0114620253164555,M1,overall,all,0.25433708439693675,0.19082155647093535,0.31391190845893036,46150
15yr TBA Eligible,-0.9375063291139241,M1,overall,all,0.2638241050656743,0.1971661396975577,0.3263180978992697,46150
15yr TBA Eligible,-0.8635506329113922,M1,overall,all,0.2737282703244447,0.20401850223608076,0.3387255203928463,46150
15yr TBA Eligible,-0.7895949367088608,M1,overall,all,0.2840537459712724,0.21140330621568504,0.3516848454074961,46150
15yr TBA Eligible,-0.715639240506329,M1,overall,all,0.29480451405527236,0.21949442222457538,0.36493645049499035,46150
15yr TBA Eligible,-0.6416835443037976,M1,overall,all,0.30598491794216937,0.2284242313497331,0.3784846525960228,46150
15yr TBA Eligible,-0.5677278481012658,M1,overall,all,0.3176003930741496,0.2378841739425125,0.39233708723089844,46150
15yr TBA Eligible,-0.49377215189873436,M1,overall,all,0.3296584148540632,0.2486024949147292,0.4057176347591951,46150
15yr TBA Eligible,-0.4198164556962025,M1,overall,all,0.34216969806543207,0.2600927917242646,0.42001286185068265,46150
15yr TBA Eligible,-0.3458607594936707,M1,overall,all,0.35514968560452115,0.27300872717034297,0.4337426215117679,46150
15yr TBA Eligible,-0.2719050632911393,M1,overall,all,0.3686203683348764,0.2870324297498894,0.44754821650849763,46150
15yr TBA Eligible,-0.19794936708860744,M1,overall,all,0.38261248299884576,0.3024758024714691,0.4613022421040669,46150
15yr TBA Eligible,-0.12399367088607605,M1,overall,all,0.39716814192854916,0.3191668493396138,0.47551841809903017,46150
15yr TBA Eligible,-0.050037974683544206,M1,overall,all,0.41234395759984727,0.33733278392178434,0.4887554170261321,46150
15yr TBA Eligible,0.02391772151898719,M1,overall,all,0.42820963928227584,0.3574457464494696,0.500915965087867,46150
15yr TBA Eligible,0.09787341772151903,M1,overall,all,0.44482906927522664,0.38000312804366,0.5122090802012202,46150
15yr TBA Eligible,0.17182911392405087,M1,overall,all,0.46226255624782947,0.40519635209598226,0.5226214345274705,46150
15yr TBA Eligible,0.24578481012658226,M1,overall,all,0.4805662591105217,0.43185824709768283,0.5323136643711757,46150
15yr TBA Eligible,0.3197405063291141,M1,overall,all,0.49978762760401396,0.46012460198874283,0.5472890446094558,46150
15yr TBA Eligible,0.3936962025316455,M1,overall,all,0.5199604279722707,0.48287930364538934,0.5587732014887825,46150
15yr TBA Eligible,0.46765189873417734,M1,overall,all,0.5410993961072825,0.5073267975337026,0.5736776391865983,46150
15yr TBA Eligible,0.5416075949367087,M1,overall,all,0.5631945970534848,0.527222043264397,0.5945034779003211,46150
15yr TBA Eligible,0.6155632911392406,M1,overall,all,0.5862056179549636,0.5409935810886668,0.62078589515141,46150
15yr TBA Eligible,0.6895189873417724,M1,overall,all,0.6100557811259688,0.5549292121254101,0.6520573156757137,46150
