Type_of_Security,spread,predicted_cpr_mean,dCPR_dspread
15yr TBA Eligible,-3.452,0.11839251052694451,0.0009413687382081793
15yr TBA Eligible,-3.378044303797468,0.118462130107362,0.003126422019679942
15yr TBA Eligible,-3.3040886075949367,0.11885494396112123,0.007287799481512591
15yr TBA Eligible,-3.230132911392405,0.1195400786762414,0.011071464635264872
15yr TBA Eligible,-3.1561772151898735,0.12049253971128666,0.014551162524814032
15yr TBA Eligible,-3.0822215189873416,0.12169236138639902,0.017790240049825545
15yr TBA Eligible,-3.0082658227848103,0.12312391888827669,0.020843593076440015
15yr TBA Eligible,-2.9343101265822784,0.1247753662610598,0.02375918206443617
15yr TBA Eligible,-2.860354430379747,0.12663817258983284,0.02657921413877662
15yr TBA Eligible,-2.786398734177215,0.12870673483335857,0.029341066018003348
15yr TBA Eligible,-2.7124430379746833,0.1309780505192046,0.032078004473722554
15yr TBA Eligible,-2.638487341772152,0.13345143714064273,0.034819747547486735
15yr TBA Eligible,-2.56453164556962,0.13612828786214615,0.037592899522004064
15yr TBA Eligible,-2.4905759493670887,0.139011855253486,0.04042128485314467
15yr TBA Eligible,-2.416620253164557,0.14210705638757645,0.043326200353948185
15yr TBA Eligible,-2.342664556962025,0.14542029387545924,0.04632660046914172
15yr TBA Eligible,-2.2687088607594936,0.14895928836836025,0.04943922718812399
15yr TBA Eligible,-2.1947531645569622,0.15273291880828488,0.05267869379520773
15yr TBA Eligible,-2.1207974683544304,0.1567510673176894,0.05605753008754122
15yr TBA Eligible,-2.0468417721518986,0.16102446613832186,0.059586195786135
15yr TBA Eligible,-1.9728860759493672,0.16556454450453734,0.06327306853714454
15yr TBA Eligible,-1.8989303797468353,0.17038327380739188,0.0671244130853288
15yr TBA Eligible,-1.8249746835443037,0.175493009908361,0.0711443388490165
15yr TBA Eligible,-1.751018987341772,0.18090633202828754,0.07533475419560154
15yr TBA Eligible,-1.6770632911392405,0.1866358782979256,0.07969532717176553
15yr TBA Eligible,-1.6031075949367088,0.19269417883844048,0.08422346424213556
15yr TBA Eligible,-1.5291518987341772,0.19909348816715794,0.08891432069120131
15yr TBA Eligible,-1.4551962025316456,0.20584561981662639,0.0937608586912333
15yr TBA Eligible,-1.3812405063291138,0.21296178732927262,0.09875397156822086
15yr TBA Eligible,-1.3072848101265824,0.22045245725681195,0.10388269543025852
15yr TBA Eligible,-1.2333291139240505,0.22832722145715326,0.10913453196662548
15yr TBA Eligible,-1.1593734177215191,0.23659469783947037,0.11449590878228566
15yr TBA Eligible,-1.0854177215189873,0.2452624707498242,0.11995280599399583
15yr TBA Eligible,-1.0114620253164555,0.25433708439693675,0.12549157988465165
15yr TBA Eligible,-0.9375063291139241,0.2638241050656743,0.1311000161123772
15yr TBA Eligible,-0.8635506329113922,0.2737282703244447,0.1367686462594997
15yr TBA Eligible,-0.7895949367088608,0.2840537459712724,0.14249236240782115
15yr TBA Eligible,-0.715639240506329,0.29480451405527236,0.1482723650578397
15yr TBA Eligible,-0.6416835443037976,0.30598491794216937,0.15411848031590103
15yr TBA Eligible,-0.5677278481012658,0.3176003930741496,0.16005188327253883
15yr TBA Eligible,-0.49377215189873436,0.3296584148540632,0.16610826652214916
